Woord,Translation,Frequentie
werken,to work,432
ervaring,experience,336
werk,work,308
team,team,297
collega,colleague,286
bent,are,286
samen,together,257
data,data,245
werkt,works,224
functie,function/role,224
hebt,have,208
goed,good,206
zoals,such as,198
jou,you,197
uur,hour,190
nederland,Netherlands,186
kennis,knowledge,180
doen,to do,174
organisatie,organisation,174
jaar,year,172
technische,technical,159
salaris,salary,158
maken,to make,158
bieden,to offer,145
vragen,questions/to ask,137
opleiding,education/training,136
ontwikkelen,to develop,136
kunt,can,133
ruimte,space/room,132
projecten,projects,122
rol,role,122
nieuwe,new,120
graag,gladly/please,118
verder,further,118
klanten,customers,118
goede,good,115
ontwikkeling,development,113
zorgt,ensures,112
contact,contact,112
zorg,care,109
mensen,people,109
minimaal,minimum,109
heb,have,104
staat,stands/is,104
verschillende,various,103
afdeling,department,102
bruto,gross,100
dag,day,98
alle,all,97
oplossingen,solutions,97
vacature,vacancy,96
krijgt,gets/receives,96
gaat,goes,95
krijg,get/receive,94
deel,part,94
informatie,information,93
week,week,92
daarnaast,additionally,90
zowel,both,89
basis,basis,88
omgeving,environment,87
eigen,own,87
maakt,makes,86
jezelf,yourself,86
persoonlijke,personal,85
maand,month,85
hbo,university of applied sciences,85
direct,direct,84
arbeidsvoorwaarden,employment conditions,83
verantwoordelijk,responsible,81
processen,processes,81
zoeken,to search,80
vanuit,from,80
kun,can,80
hier,here,79
klant,customer,79
zelfstandig,independently,79
werkzaamheden,activities/duties,77
waarin,in which,76
bouwen,to build,76
complexe,complex,76
nederlandse,Dutch,75
ervoor,for it,75
medewerker,employee,73
extra,extra,73
impact,impact,73
samenwerking,collaboration,72
financiële,financial,72
utrecht,Utrecht,71
bedrijf,company,71
baan,job,71
groei,growth,71
vast,permanent,70
snel,fast,69
staan,stand,69
business,business,68
fulltime,full-time,67
solliciteer,apply,67
alleen,only/alone,67
mogelijk,possible,66
onderdeel,part of,66
vakantiedagen,vacation days,66
beste,best,66
afhankelijk,depending,64
zich,themselves,64
nodig,necessary,64
komt,comes,64
één,one,64
kwaliteit,quality,63
centraal,central,63
diverse,diverse,62
zoek,search,62
belangrijk,important,62
mogelijkheid,possibility,62
medewerkers,employees,61
producten,products,61
nemen,to take,61
dagen,days,61
richting,direction,61
solliciteren,to apply,60
interne,internal,60
sterk,strong,60
defensie,defence,60
vaardigheden,skills,59
bijvoorbeeld,for example,59
actief,active,59
groeien,to grow,58
engineer,engineer,58
altijd,always,57
denkniveau,thinking level,57
werkervaring,work experience,57
zodat,so that,57
taken,tasks,56
sterke,strong,56
houdt,keeps/holds,56
iedereen,everyone,56
daarom,therefore,56
neem,take,56
ondersteuning,support,56
vinden,to find,55
nederlands,Dutch,55
zorgen,to ensure/care,55
bijdragen,to contribute,54
dienstverband,employment contract,53
taal,language,53
contract,contract,53
mogelijkheden,possibilities,53
kantoor,office,53
elkaar,each other,53
ondersteunen,to support,52
tijd,time,52
weet,knows,52
helpen,to help,52
kom,come,51
cao,collective labour agreement,51
weten,to know,51
kansen,opportunities,50
zelf,self,50
samenwerken,to collaborate,50
systemen,systems,50
relevante,relevant,49
eisen,requirements,49
waarbij,where,48
eerste,first,48
service,service,48
bouw,construction,48
power,power,48
azure,Azure,48
dagelijks,daily,47
maak,make,47
tijdens,during,47
leren,to learn,47
beheersing,proficiency,47
voorkeur,preference,47
uitvoeren,to execute,46
kans,chance/opportunity,46
communicatie,communication,46
professionele,professional,46
juiste,right/correct,46
mbo,vocational education,46
bestaat,exists,46
onderwijs,education,46
verantwoordelijkheid,responsibility,46
pensioenregeling,pension scheme,46
software,software,46
groot,large,45
denk,think,45
moderne,modern,45
reiskostenvergoeding,travel allowance,45
technisch,technical,45
amsterdam,Amsterdam,45
beschikbaar,available,45
grote,large,44
uitstekende,excellent,44
project,project,44
vraagstukken,issues/questions,44
sollicitatie,application,43
expertise,expertise,43
helpt,helps,43
volgende,next/following,43
werkomgeving,work environment,43
pré,advantage/bonus,43
budget,budget,43
trainingen,trainings,42
gaan,to go,42
biedt,offers,42
monteur,mechanic/technician,42
begeleiding,guidance,41
flexibele,flexible,41
vrijheid,freedom,41
specialist,specialist,41
past,fits,41
vaste,permanent/fixed,41
focus,focus,41
slag,strike/action,40
wereld,world,40
open,open,40
komen,to come,40
nauw,close/tight,40
volledige,full/complete,39
geven,to give,39
telefoon,phone,39
niveau,level,39
veilig,safe,39
veiligheid,safety,39
blijven,to stay,39
energie,energy,39
neemt,takes,39
start,start,39
internationale,international,39
betrokken,involved,39
verpleegkundige,nurse,39
onderhoud,maintenance,38
informele,informal,38
vindt,finds,38
klaar,ready,38
innovatieve,innovative,38
houden,to keep/hold,38
daarbij,in addition,38
uitdagende,challenging,38
volop,plenty of,38
beheren,to manage,38
duurzame,sustainable,37
toekomst,future,37
interesse,interest,37
belangrijke,important,37
korte,short,37
mail,email,37
ziet,sees,37
locatie,location,37
ervaren,experienced,37
betekent,means,37
vakantiegeld,holiday pay,37
dynamische,dynamic,37
marketing,marketing,37
organisaties,organisations,37
inclusief,inclusive/including,36
volgens,according to,36
stakeholders,stakeholders,36
architect,architect,36
kandidaten,candidates,35
verbeteren,to improve,35
naast,besides,35
duidelijke,clear,35
manier,way/manner,35
administratieve,administrative,35
gebied,area/field,35
commit,commit,35
beschikt,has/possesses,34
enthousiast,enthusiastic,34
vanaf,from,34
ideeën,ideas,34
oog,eye,34
gedreven,driven,34
laten,to let/allow,34
uren,hours,34
verschil,difference,34
huis,house,34
ondersteunt,supports,34
innovatie,innovation,34
management,management,34
techniek,technology/technique,34
externe,external,34
teams,teams,34
rapportages,reports,34
manager,manager,33
iemand,someone,33
gebruik,use,33
platform,platform,33
leveren,to deliver,33
hecht,values/attaches,33
ontwerpen,to design,33
architectuur,architecture,33
bedrijven,companies,32
juridische,legal,32
inzet,commitment/deployment,32
persoonlijk,personal,32
passie,passion,32
meerdere,multiple,32
recruitment,recruitment,32
word,become,32
administratie,administration,32
dienst,service/department,32
leveranciers,suppliers,32
opstellen,to draft,32
gemeente,municipality,32
koninklijke,royal,32
onderhouden,to maintain,31
écht,really/truly,31
flexibel,flexible,31
aantal,number of,31
heel,very/whole,31
overzicht,overview,31
optimaliseren,to optimise,31
werkweek,working week,31
denken,to think,31
domein,domain,31
materieel,material/equipment,31
toegang,access,30
leuk,nice/fun,30
acquisitie,acquisition,30
kijken,to look,30
ontvang,receive,30
uitdaging,challenge,30
talent,talent,30
afgeronde,completed,30
delen,to share,30
hybride,hybrid,30
communicatief,communicative,30
ontwikkelingen,developments,30
initiatief,initiative,30
ministerie,ministry,30
rijbewijs,driving licence,29
hierbij,hereby,29
stap,step,29
realiseren,to realise,29
affiniteit,affinity,29
maandsalaris,monthly salary,29
maandag,Monday,29
werksfeer,work atmosphere,29
aantoonbare,demonstrable,29
continu,continuous,29
regio,region,29
stuur,send/steer,29
locaties,locations,29
uitzicht,prospect/view,29
bewaken,to monitor,29
activiteiten,activities,29
begeleiden,to guide,29
infrastructuur,infrastructure,29
projectmanager,project manager,29
bijdrage,contribution,29
doet,does,29
wet,law,29
sport,sports,29
technologie,technology,29
code,code,29
cloud,cloud,29
senior,senior,28
behalen,to achieve,28
engels,English,28
nauwkeurig,accurate,28
werkplek,workplace,28
thuis,home,28
lees,read,28
ruim,spacious/ample,28
digitale,digital,28
leuke,nice/fun,28
bouwt,builds,28
gericht,focused,28
uitvoering,execution,28
vertaalt,translates,28
engineering,engineering,28
analytisch,analytical,28
vind,find,28
aanspreekpunt,point of contact,28
aandacht,attention,28
prijs,price,28
voert,carries out,28
draagt,contributes,27
terecht,rightly,27
help,help,27
online,online,27
daar,there,27
brengen,to bring,27
profiel,profile,27
afdelingen,departments,27
opleidingen,trainings/educations,27
rotterdam,Rotterdam,27
twee,two,27
analyseren,to analyse,27
operationele,operational,27
vertalen,to translate,27
ict,ICT,27
leerlingen,students/pupils,27
bezig,busy,26
werkgever,employer,26
verwachten,to expect,26
organiseren,to organise,26
levert,delivers,26
resultaten,results,26
investeren,to invest,26
gegevens,data/information,26
dashboards,dashboards,26
chauffeur,driver,26
hetzelfde,the same,25
gesprek,conversation,25
echt,really,25
klantenservice,customer service,25
soepel,smooth,25
proces,process,25
keuzes,choices,25
signaleren,to signal,25
sfeer,atmosphere,25
microsoft,Microsoft,25
concrete,concrete,25
praktijk,practice,25
aanstelling,appointment,25
vermogen,ability/capacity,25
support,support,25
planning,planning,25
regelgeving,regulations,25
cultuur,culture,25
vergelijkbare,comparable,25
belastingdienst,tax authority,24
recruiter,recruiter,24
netwerk,network,24
geeft,gives,24
gereedschap,tools/equipment,24
lijnen,lines,24
den,The (The Hague),24
werktijden,working hours,24
blijft,remains,24
voeren,to conduct,24
professionals,professionals,24
juist,correct/right,24
hele,whole/entire,24
wensen,wishes,24
inzichten,insights,24
maatschappelijke,social/societal,24
commerciële,commercial,24
toonaangevende,leading,24
opdrachten,assignments,24
ontwikkelt,develops,24
administratief,administrative,24
devops,DevOps,24
parttime,part-time,23
zet,set/put,23
motivatie,motivation,23
machines,machines,23
werkdag,working day,23
markt,market,23
maximaal,maximum,23
actieve,active,23
diploma,diploma,23
vacatures,vacancies,23
advies,advice,23
analyse,analysis,23
aanbod,offer/supply,23
doe,do,23
sollicitatieprocedure,application procedure,23
draait,runs/turns,23
product,product,23
developer,developer,23
python,Python,23
java,Java,23
campagnes,campaigns,23
mooie,beautiful/great,22
schaal,scale,22
ikb,individual budget,22
waarde,value,22
wilt,want,22
sales,sales,22
diensten,services,22
zie,see,22
passen,to fit,22
aanpak,approach,22
schakelen,to switch,22
beter,better,22
woord,word,22
welke,which,22
geloven,to believe,22
eindejaarsuitkering,year-end bonus,22
coördineren,to coordinate,22
pensioen,pension,22
gebruiken,to use,22
inkoop,procurement,22
zit,sits,22
denkt,thinks,22
stellen,to set/ask,22
internationaal,international,22
dagelijkse,daily,22
opdrachtgevers,clients,22
partners,partners,22
gesteld,set/asked,22
patiënten,patients,22
versterken,to strengthen,22
vaardig,skilled,22
finance,finance,22
beheer,management/administration,22
pipelines,pipelines,22
uber,Uber,22
jurist,lawyer,22
breng,bring,21
behoeften,needs,21
draag,contribute,21
diversiteit,diversity,21
flexibiliteit,flexibility,21
verantwoordelijkheden,responsibilities,21
volledig,complete/full,21
winkel,shop,21
korting,discount,21
duidelijk,clear,21
auto,car,21
plannen,to plan,21
fiets,bicycle,21
makkelijk,easy,21
zetten,to put/set,21
optimaal,optimal,21
opdrachtgever,client,21
customer,customer,21
grootste,largest,21
zien,to see,21
bestaande,existing,21
installaties,installations,21
agile,agile,21
sql,SQL,21
inkoper,buyer/purchaser,21
overleg,consultation,20
laptop,laptop,20
zorgvuldig,careful,20
vak,profession/subject,20
inzicht,insight,20
voelt,feels,20
veilige,safe,20
geef,give,20
ter,for/at the,20
nodigen,invite,20
communicatieve,communicative,20
school,school,20
schakelt,switches,20
geregeld,regularly/arranged,20
proactief,proactive,20
tools,tools,20
plezier,pleasure/fun,20
steeds,always/increasingly,20
storingen,malfunctions,20
tijdelijke,temporary,20
betrouwbare,reliable,20
rondom,around,20
plek,place/spot,20
competenties,competencies,20
creëren,to create,20
gemeenten,municipalities,20
sector,sector,20
politie,police,20
engineers,engineers,20
natuurlijk,naturally/of course,20
ongeveer,approximately,19
docent,teacher,19
maanden,months,19
professioneel,professional,19
echte,real/true,19
leven,life,19
kandidaat,candidate,19
verlof,leave,19
mag,may,19
vergoeding,allowance/compensation,19
carrière,career,19
opdracht,assignment,19
verlopen,to expire/proceed,19
verwerken,to process,19
netto,net,19
koffie,coffee,19
gebruikt,used,19
schakel,link/switch,19
verbeteringen,improvements,19
