job_id,job_title,employer_name,job_city,job_country,date_posted,job_description,job_apply_link
eyIMwPYJLjDJGG-PAAAAAA==,Afdelingshoofd Informatievoorziening FIOD,directoraat-generaal Belastingdienst,Apeldoorn,NL,2026-05-21T00:00:00.000Z,Afdelingshoofd Informatievoorziening FIOD in Apeldoorn voor 36 uur bij directoraat-generaal Belastingdienst,https://www.werkenvoornederland.nl/vacatures/afdelingshoofd-informatievoorziening-fiod-BD-2026-8437
CkblutYv9L9m_wt6AAAAAA==,Juridisch Deskundige Flexteam,Raad voor de Kinderbescherming,Lelystad,NL,2026-05-21T00:00:00.000Z,Juridisch Deskundige Flexteam in Lelystad voor 36 uur bij Raad voor de Kinderbescherming,https://www.werkenvoornederland.nl/vacatures/juridisch-deskundige-flexteam-RVDK-2026-3964
VtXu9ukIgIOWQ5qhAAAAAA==,Senior gerechtsjurist bestuursrecht,Rechtbank Midden-Nederland,Utrecht,NL,2026-05-20T00:00:00.000Z,Senior gerechtsjurist bestuursrecht in Utrecht voor 32-36 uur bij Rechtbank Midden-Nederland,https://www.werkenvoornederland.nl/vacatures/senior-gerechtsjurist-bestuursrecht-RO-2026-4718
MVcFH5tvwx1dOLChAAAAAA==,Medewerker groenvoorziening - For Netherland Resident Only,AB Midden Nederland,Ouderkerk aan de Amstel,NL,2026-05-23T00:00:00.000Z,"Vacaturebeschrijving

IntroWerk jij graag buiten en met groen? Dan zoeken wij jou als medewerker groenvoorziening!

Als uw vaardigheden, ervaring en kwalificaties overeenkomen met die in dit functieoverzicht, stel uw sollicitatie dan niet uit.

Dit ga je doenAls medewerker groenonderhoud ben je dagelijks bezig met het onderhouden en verzorgen van groenvoorzieningen. Je werkt buiten aan uiteenlopende projecten, waarbij geen dag hetzelfde is. Samen met je collega's zorg je voor een verzorgde en duurzame groene leefomgeving.

Je werkzaamheden bestaan onder andere uit:

• Schoffelen en maaien van plantsoenen
• Snoeien van bomen en struiken
• Grasmaaien en bosmaaien
• Bladblazen en opruimwerkzaamheden
• Aanplanten van bomen en planten
• Uitvoeren van algemeen onderhoud in het groen

Het gaat hier om een parttime functie van ongeveer 24 uur per week. Het salaris is gebaseerd op het bruto maandloon bij een fulltime dienstverband van 40 uur per week. Wil je meer werken, ook geen probleem!

Dit breng je mee• Je hebt soortgelijke ervaring in het groenonderhoud
• Je bent fysiek fit
• Je beschikt over een rijbewijs B
• Je beheerst de Nederlandse taal
Hier kom je terechtDit bedrijf is gespecialiseerd in aanleg en onderhoud van groot- en kleinschalige tuinen voor bedrijven en particulieren. Denk hierbij onder andere aan het aanplanten en snoeien van groen, (sier)bestrating, maaien en schoffelen.

Geen tuin is hetzelfde; een mooie moderne kantoortuin met cortenstaal en diverse siergrassen, een klassieke tuin met veel buxusbollen en plantanen of misschien ben jij wel diegene die een verrassend en inspirerend tuinontwerp maakt, afgestemd op de specifieke behoeften van de klant.

Dit krijg je• Een salaris tussen €16,00 en €20,00 bruto per uur, afhankelijk van leeftijd, ervaring en cao
• Doorgroeikansen, inclusief het behalen van certificaten
• Kans op een vast contract bij goed functioneren
Hoe nu verder?Ben je enthousiast geworden over de vacature Medewerker groenvoorziening? Wacht dan niet langer en solliciteer direct, of bel of app met mij via

Hoe nu verder?

Solliciteer, maak kennis met onze recruiter, kom op gesprek en ga zo snel mogelijk aan het werk!

Salarisomschrijving2784 - 3480

Over de werkgever

Dit bedrijf is gespecialiseerd in aanleg en onderhoud van groot- en kleinschalige tuinen voor bedrijven en particulieren. Denk hierbij onder andere aan het aanplanten en snoeien van groen, (sier)bestrating, maaien en schoffelen. xbpjoel

Geen tuin is hetzelfde; een mooie moderne kantoortuin met cortenstaal en diverse siergrassen, een klassieke tuin met veel buxusbollen en plantanen of misschien ben jij wel diegene die een verrassend en inspirerend tuinontwerp maakt, afgestemd op de specifieke behoeften van de klant.",https://bebee.com/nl/jobs/medewerker-groenvoorziening-for-netherland-resident-only-ab-midden-nederland-ouderkerk-aan-de-amstel--bs-nl-57d8ce59-5ec3-495f-b784-92a769cd2e82
NFCbX9ecrBWQ54yFAAAAAA==,NT2 Docent,VluchtelingenWerk Nederland,Leiden,NL,2026-05-18T00:00:00.000Z,"VluchtelingenWerk Nederland zet zich in voor de belangen van vluchtelingen en asielzoekers, vanaf hun eerste stap in Nederland tot aan volledige integratie. Met een netwerk van duizenden vrijwilligers en honderden betaalde medewerkers beschermen we de rechten van vluchtelingen en bieden we persoonlijke steun, belangenbehartiging en juridische begeleiding. Wil je hieraan bijdragen vanuit jouw expertise? Dat kan!

Wat draag je bij?
In Leiden geven wij inburgeringslessen (B1 route) aan inburgeringsplichtigen. Hiervoor zijn we per direct op zoek naar een NT2 docent.

Wat ga je doen?
• Je verzorgt inburgeringslessen in Leiden voor de B1 route.

• Je bewaakt de trajecten de trajecten van jouw cursisten en monitort de voortgang door middel van toetsing

• Je geeft gedifferentieerd les.

• Tussentijds overleg je met de teamleider over de inburgeraars en zorgt voor de periodieke voortgangsrapportages.

• Je zorgt voor de lessen die inhoudelijk en interactief passend zijn bij de methode. We werken met de methode TaalCompleet.

• Als docent signaleer je wanneer er obstakels of knelpunten zijn die van invloed zijn op het leerproces van de inburgeraar en koppelt dit tijdig terug naar de teamleider.

• Je draagt zorgt voor de registratie van de presentie in ons volgsysteem.

• Je begeleidt klassenassistenten die ondersteunen tijdens de les.

Wat ga je doen?
• Je beschikt over een NT2 bevoegdheid of je volgt de opleiding tot NT2 docent.

• Enthousiaste en flexibele instelling.

• Zelfstandig kunnen werken.

• Gedifferentieerd kunnen werken.

• Resultaatgericht werken voor het realiseren van de afgesproken taken.

• Je hebt affiniteit met de doelgroep vluchtelingen en asielzoekers.

• Stressbestendig zijn en kunnen werken in een omgeving waar diverse taken zich tegelijk aandienen.

Wat bieden wij jou?
Je helpt mee aan een menswaardige opvang en een sterke basis voor de toekomst van vluchtelingen in Nederland. Verder krijg je:
• Salaris tussen € 3.498 en € 5.216 bruto per maand (op basis van 36 uur - Schaal 8 van de cao Sociaal Werk).

• Contractduur van 6 maanden

• Individueel keuzebudget (IKB) van 16,5% van je bruto maandsalaris.

• Loopbaanbudget van 1,5% van je bruto maandsalaris.

• Pensioenopbouw via Pensioenfonds Zorg & Welzijn.

• Laptop en mobiele telefoon.

• Reiskostenvergoeding.

Thuiswerkvergoeding.

Heb je interesse?
Reageer dan uiterlijk uiterlijk 31 mei door je cv en motivatie te sturen.
Voor inhoudelijke vragen kan er contact opgenomen worden met Eva Gelting, Teamleider via 06-12953655 of egelting@vluchtelingenwerk.nl
Na de sluitingsdatum wordt de vacature offline gehaald, houdt hier rekening mee mocht je de vacature voor jezelf willen bewaren.

VluchtelingenWerk als inclusieve organisatie
Wij hechten waarde aan diversiteit, inclusiviteit en gelijkwaardigheid en moedigen iedereen aan om te solliciteren ongeacht achtergrond. Wij vinden het belangrijk om onze doelgroep te betrekken en een kans te geven voor een betaalde baan binnen onze organisatie. Mensen met een vluchtverleden worden daarom van harte uitgenodigd om te solliciteren.",https://werkenbij.vluchtelingenwerk.nl/o/nt2-docent-3
5KYHp6Gu6DfFOShFAAAAAA==,Data analist,Belastingdienst,Apeldoorn,NL,2026-05-18T00:00:00.000Z,Data analist in Apeldoorn voor 32-36 uur bij Belastingdienst,https://www.werkenvoornederland.nl/vacatures/data-analist-BD-2026-5019
iYpSMLvnIAW9aMkKAAAAAA==,Modelmaker - Prefab Betonindustrie - Bunschoten-Spakenburg - Alleen voor inwoners van Nederland,AB Midden Nederland,Spakenburg,NL,2026-05-23T00:00:00.000Z,"Vacaturebeschrijving

Alle potentiële kandidaten dienen de volgende details van deze vacature zorgvuldig door te lezen alvorens een sollicitatie in te dienen.

Intro

Werk als Modelmaker in Bunschoten-Spakenburg en maak mallen en modellen voor de prefab betonsector. Je werkt van maandag tot en met vrijdag in dagdienst, met een bruto uurloon vanaf €15,64.

• Fulltime baan in Bunschoten-Spakenburg
• Salaris vanaf €15,64 bruto per uur
• Dagdienst, 38-40 uur per week

Dit ga je doen

Als Modelmaker speel je een belangrijke rol in het maken van mallen en modellen voor de prefab betonindustrie. Je werkt vanaf technische tekeningen, vervaardigt onderdelen uit hout of kunststof en stelt deze samen tot een eindproduct op maat voor de klant. Daarnaast controleer je de maatvoering en kwaliteit, denk je mee over het verbeteren van het productieproces en onderhoud je het gereedschap en de machines.

Je werkdag begint om 7:00 uur in een ruime productiehal. Je werkt in een klein, toegankelijk team waar je zelfstandig aan de slag gaat maar ook samenwerkt als dat nodig is. Je krijgt te maken met uiteenlopende projecten, van eenvoudig tot complex, en krijgt de kans om je technische vaardigheden verder te ontwikkelen. De communicatie is direct en ieders ideeën om slimmer te werken worden gewaardeerd.

Deze functie is een mooie kans als je jouw vakmanschap verder wilt ontwikkelen en deel wilt uitmaken van een groeiend bedrijf. Je werkt met hoogwaardige materialen en professioneel gereedschap. Voor deze functie zijn basisvaardigheden in het Nederlands of Engels (A2-niveau) voldoende om werkinstructies te begrijpen en te communiceren op de werkvloer.

Dit breng je mee

• Enige ervaring als modelmaker, timmerman, interieurbouwer of vergelijkbaar is een pluspunt, maar geen vereiste - wij leren je het vak graag.
• Technisch inzicht en oog voor detail.
• Ervaring met hout- of kunststofbewerking is een voordeel.
• Zelfstandig kunnen werken en ook goed in teamverband.
• Motivatie, flexibiliteit en een probleemoplossende instelling. Basis taalvaardigheden zijn voldoende voor dit werk - eenvoudige instructies begrijpen en communiceren op de werkvloer.

Hier kom je terecht

Je komt te werken bij een bedrijf dat gespecialiseerd is in het maken van mallen en modellen voor de prefab betonindustrie. De werkomgeving is vriendelijk en informeel, met korte lijnen. Betrouwbaarheid, vakmanschap en kwaliteit staan centraal. Er is ruimte voor leren en professionele groei. Je maakt deel uit van een specialistisch en gemotiveerd team, waar jouw inzet en ideeën echt gewaardeerd worden.

Dit krijg je

• Een bruto uurloon tussen €15,64 en €20,00, afhankelijk van ervaring
• Mogelijkheden voor groei en ontwikkeling in je vak
• Een prettige en informele werksfeer met korte lijnen
• Werkzekerheid en kans op een vast contract bij goed functioneren
• Werken met kwalitatief materiaal en professioneel gereedschap, van maandag tot en met vrijdag van 7:00 tot 16:00 in een grote productiehal

Hoe nu verder?

Wil je meer weten of direct solliciteren? Neem contact op met Gosia via

Salarisomschrijving

15.64 - 20.38

Over de werkgever

Je komt te werken bij een bedrijf dat gespecialiseerd is in het maken van mallen en modellen voor de prefab betonindustrie. De werkomgeving is vriendelijk en informeel, met korte lijnen. Betrouwbaarheid, vakmanschap en kwaliteit staan centraal. Er is ruimte voor leren en professionele groei. xbpjoel Je maakt deel uit van een specialistisch en gemotiveerd team, waar jouw inzet en ideeën echt gewaardeerd worden.",https://bebee.com/nl/jobs/modelmaker-prefab-betonindustrie-bunschoten-spakenburg-alleen-voor-inwoners-van-nederland-ab-midden---bs-nl-2ce713b6-5d86-46b4-b9d4-aaa43e212f53
LrVUuopogRZb-jh8AAAAAA==,Klantenservice Medewerker,RCN Vakantieparken,Leusden,NL,2026-05-17T00:00:00.000Z,"24 - 32 uur | tussen de € 2.450 en € 2.915 (obv 38 uur) |📍Leusden

Op zoek naar een afwisselende zomerbaan in vakantiesfeer? Als medewerker klantenservice help je gasten bij het boeken van hun vakantie, beantwoord je vragen via telefoon, mail en chat én werk je samen in een gezellig team op het hoofdkantoor van RCN Vakantieparken.",https://www.rcn.nl/nl/werken-bij-rcn/alle-vacatures/klantenservice-medewerker-rcn-hoofdkantoor
DrsAWgcX7pt27vVYAAAAAA==,Stagiair constitutioneel recht,Raad van State,Den Haag,NL,2026-05-19T00:00:00.000Z,Stagiair constitutioneel recht in Den Haag voor 24-32 uur bij Raad van State,https://www.werkenvoornederland.nl/vacatures/stagiair-constitutioneel-recht-RVS-2026-8146
UgUpgh3jOHbsT4O_AAAAAA==,Heftruckchauffeur - Alleen voor inwoners van Nederland,Effect Personeelsdiensten B.V.,Westerhaar-Vriezenveensewijk,NL,2026-05-23T00:00:00.000Z,"Ben jij de heftruckchauffeur die van aanpakken houdt? Houd je van werken in een omgeving waar precisie en klantgerichtheid voorop staan? Wij zoeken een heftruckchauffeur die zorgt dat elke bestelling nauwkeurig en op tijd wordt klaargezet!

Alle aanvullende informatie die u voor deze baan nodig heeft, vindt u in de onderstaande tekst. Zorg ervoor dat u deze grondig leest en vervolgens solliciteert.

Je nieuwe baan

Wat ga je allemaal doen?

Als heftruckchauffeur ben jij de spil in het orderproces. Je zorgt ervoor dat de bigbags en bestellingen nauwkeurig worden klaargezet voor verzending. Jouw verantwoordelijkheden zijn onder andere:

• Bestellingen op volgorde klaarzetten per klant.
• Bigbags veilig verplaatsen en stapelen.
• Controleren van orders en ervoor zorgen dat ze aan de juiste specificaties voldoen.
Je werkt zelfstandig en draagt bij aan een soepel logistiek proces, waardoor klanten op tijd en volledig hun bestellingen ontvangen.
Over het bedrijf

Een korte introductie

Je komt te werken bij een bedrijf dat gespecialiseerd is in de verwerking en levering van grondstoffen. Het team zet zich dagelijks in om klanten van topkwaliteit producten te voorzien en verwacht dezelfde toewijding van jou. Het magazijn is efficiënt en overzichtelijk ingericht, waardoor je werkplek klaar is voor productief werken.

Wat we jou bieden

Naast persoonlijk contact

• Een goed salaris tussen de €2600 en €3000 bruto per maand, passend bij je ervaring.
• Stabiele werktijden en de mogelijkheid om te groeien in je functie.
• Een werkplek waar veiligheid en teamwork centraal staan.
• Toegang tot interne trainingen en de kans om certificaten te behalen.
Jouw kwaliteiten
Waar we naar op zoek zijn

• Ervaring op de heftruck en een geldig heftruckcertificaat.
• Nauwkeurigheid en oog voor detail.
• Een zelfstandige werkhouding en de capaciteit om goed te presteren onder tijdsdruk. xbpjoel
• Goede communicatievaardigheden, want je werkt samen met collega’s en af en toe met klanten.",https://bebee.com/nl/jobs/heftruckchauffeur-alleen-voor-inwoners-van-nederland-effect-personeelsdiensten-bv-westerhaar-vriezen--bs-nl-87a6a7ad-699e-46ae-be53-6fd8bc817123
